{'factors': 30, 'regularization': 0.0001, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 75.81137132644653, 'loss': 0.7600182570173307}
{'factors': 30, 'regularization': 0.001, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 75.88135600090027, 'loss': 0.757988268860426}
{'factors': 30, 'regularization': 0.005, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 75.78126811981201, 'loss': 0.7605549896464083}
{'factors': 32, 'regularization': 0.0001, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 75.66412663459778, 'loss': 0.36633917112710207}
{'factors': 32, 'regularization': 0.001, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 75.76670670509338, 'loss': 0.3663434849460456}
{'factors': 32, 'regularization': 0.005, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 75.83662629127502, 'loss': 0.3663460782969813}
{'factors': 32, 'regularization': 0.01, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 75.77485942840576, 'loss': 0.3663658481748897}
{'factors': 32, 'regularization': 0.05, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 75.7152111530304, 'loss': 0.3663476244245094}
{'factors': 32, 'regularization': 0.1, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 75.83972787857056, 'loss': 0.3663393693543961}
{'factors': 64, 'regularization': 0.0001, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 100.06011462211609, 'loss': 0.36589617642142225}
{'factors': 64, 'regularization': 0.001, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 99.85453772544861, 'loss': 0.36591961768090064}
{'factors': 64, 'regularization': 0.005, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 100.07554697990417, 'loss': 0.3659186962663743}
{'factors': 64, 'regularization': 0.01, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 100.10295629501343, 'loss': 0.3659061917391644}
{'factors': 64, 'regularization': 0.05, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 100.07565212249756, 'loss': 0.3658990142452058}
{'factors': 64, 'regularization': 0.1, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 100.11129593849182, 'loss': 0.36590959660364425}
{'factors': 96, 'regularization': 0.0001, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 112.18660807609558, 'loss': 0.365813020538914}
{'factors': 96, 'regularization': 0.001, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 112.14842867851257, 'loss': 0.36577478782254086}
{'factors': 96, 'regularization': 0.005, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 112.14290738105774, 'loss': 0.36575578510575024}
{'factors': 96, 'regularization': 0.01, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 112.0964605808258, 'loss': 0.36575106853220407}
{'factors': 96, 'regularization': 0.05, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 112.02430558204651, 'loss': 0.3658099000816966}
{'factors': 96, 'regularization': 0.1, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 111.94059014320374, 'loss': 0.3657910676919375}
{'factors': 128, 'regularization': 0.0001, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 127.37321186065674, 'loss': 0.3657648330036576}
{'factors': 128, 'regularization': 0.001, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 127.47037315368652, 'loss': 0.3657590888982828}
{'factors': 128, 'regularization': 0.005, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 127.42367720603943, 'loss': 0.3657810869779092}
{'factors': 128, 'regularization': 0.01, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 127.41454410552979, 'loss': 0.3657600901849923}
{'factors': 128, 'regularization': 0.05, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 127.11882400512695, 'loss': 0.36571895800862286}
{'factors': 128, 'regularization': 0.1, 'iterations': 20, 'calculate_training_loss': True, 'elapsed_time': 127.2484872341156, 'loss': 0.3657508330929595}
